2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
 ;Java 1;myöhässä;Java 2;myöhässä;Java 3;myöhässä;Java 4;myöhässä;Java 5;myöhässä;Java 6;myöhässä;Teoria 1;myöhässä;Teoria 2;myöhässä;Teoria 3;myöhässä;Teoria 4;myöhässä;Teoria 5;myöhässä;Arkkitehtuuri;Koodi;Käyttökokemus;Raportti;Arvosana;Arvosana;;"Portfolio
(15-30 joinain vuosina %)";Painotettu keskiarvo;Arvosana;
84826M;5;;3;1;4;;5;;5;;4;;4;;3;;3;;3;;4;;5;4.5;4;3.5;4.25;4;;4;4.09;4;
84851U;5;;4;;3;;3;;3;;2;;3;;3;;3;;3;;3;;3;2;3;3.5;2.88;1;;3.64;3;3;
84855B;4;;5;;3;;4;;5;;5;;2;;4;;5;;5;;3;;4;4;4;4;4;4;;4.44;4.17;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
50163D;3;;5;;4;;3;;5;;3;;4;;3;;5;;5;;5;;4;5;5;5;4.75;3;;4.44;4.11;4;
54429R;5;;5;;4;1;5;;3;2;5;;4;;4;;3;;3;;5;;;;;;;;;4.3;4.05;4;
67278W;6;;5;;5;;5;;5;;5;;5;;5;;2;;4;;4;;5;5;4;5;4.75;5;;4.34;4.77;5;
67524V;5;;6;;5;;6;;5;;5;;5;;4;;5;;4;;5;;5;5;5;5;5;5;;4.44;4.99;5;
68935D;4;;0;2;2;;4;;3;;4;;2;;3;;1;1;1;;4;;4;4;4.5;3.5;4;4;;3.9;3.25;3;
69462V;4;;4;;3;;;;;;2;1;2;2;1;;4;;1;;2;2;;;;;;;;3.6;2.8;3;
69672W;3;;5;;2;;1;;4;;1;1;1;2;1;;1;;4;;1;;1;1;2;2;1.5;2;;3.54;2.34;2;
77782T;6;;6;;6;;5;;6;;6;;5;;5;;5;;5;;5;;5;5;5;5;5;5;;4.04;5.19;5;
77802U;5;;5;;2;2;4;;5;;5;;4;;4;;5;;4;;4;;4.5;4;3;4;3.88;4;;4.34;4.19;4;
78738C;5;;5;;5;;4;;6;;4;;5;;4;;5;;3;;5;;4;5;5;4;4.5;5;;3.5;4.52;5;
78806R;4;;4;;2;;1;;2;;2;;3;;3;;2;;0;1;5;;1.5;1;2;2;1.63;3;;2.74;2.43;2;
78962V;4;;4;;3;;2;;2;;4;;3;;2;;2;;3;;4;;1;1;2.5;3;1.88;1;;4.04;2.77;3;
79406F;4;;5;;3;;3;;5;;5;;3;;3;;4;;1;2;5;;4;3.5;3.5;3;3.5;4;;4.04;3.85;4;
79478B;5;;5;;4;;5;;5;;5;;3;;5;;4;;4;;5;;4.5;4;3.5;4;4;3;;4.34;4.31;4;
79511T;2;;4;;2;;4;;3;;4;;5;;4;;3;;4;;3;;4;4;4;5;4.25;4;;4;3.69;4;
79586S;5;;5;;5;;5;;5;;5;;4;;5;;4;;5;;5;;5;4;4;5;4.5;2;;4.04;4.4;4;
79654H;3;;2;;3;;4;;2;;4;;3;;2;2;3;;3;;5;;2.5;4;3.5;4;3.5;2;;4.3;3.23;3;
79835U;3;;4;;3;;6;;5;;5;;3;;4;;3;;4;;5;;4.5;4;4;4;4.13;5;;4.04;4.23;4;
79848M;5;;4;;4;;4;;5;;5;;3;;3;;4;;4;;5;;4;4;4;3;3.75;4;;3.94;4.11;4;
79910T;4;;3;;4;;5;;4;;4;;4;;4;;5;;5;;5;;4.5;3;4;4;3.88;1;;4.04;3.77;4;
79936D;3;;3;;4;;3;;5;;3;;4;;3;;5;;4;;5;;3;2.5;4;4;3.38;3;;4.34;3.66;4;
79995F;4;;5;;3;;4;;5;;4;;3;;4;;5;;4;;4;;4;5;5;3;4.25;4;;3.6;4.06;4;
80305N;5;;4;;5;;5;;5;;6;;4;;5;;5;;4;;5;;5;5;5;5;5;5;;3.94;4.78;5;
80326R;4;;5;;4;;4;;4;;4;;3;;2;;3;;4;;5;;2;3;5;4;3.5;3;;4.44;3.84;4;
80331W;5;;5;;3;;3;;5;;5;;2;;5;;5;;4;;4;;4;3;3;3;3.25;2;;4.3;3.83;4;
80337F;4;;5;;4;;5;;6;;5;;3;;4;;4;;5;;5;;3;4.5;5;4.5;4.25;4;;3.94;4.4;4;
80340K;3;;3;;3;;5;;2;;4;;4;;3;;3;;2;;4;;4;3.5;2.5;2;3;2;;3.54;3.14;3;
80357H;0;;0;;;;;;;;;;4;;2;;1;;1;2;0;3;;;;;;;;4;2.8;3;
80367U;4;;3;;4;;4;;5;;5;;3;;1;;2;;4;1;4;;2;3;3;3;2.75;4;;3.94;3.63;4;
81838F;4;;5;;2;;5;;4;1;4;;4;;2;;1;;5;;3;;5;4.5;5;3;4.38;3;;4.04;3.83;4;
81891B;2;;6;;2;;2;1;3;1;2;1;2;;5;;5;;4;;4;;5;5;3.5;5;4.63;5;;4.44;3.82;4;
81944U;2;2;5;;4;;2;;0;2;5;;5;;3;;3;1;4;;4;;2;3;2;3.5;2.63;3;;3.94;3.19;3;
